rev_id	timing	wiki	grouping
300037115	0.5772335529327393	wikidatawiki	single
300794492	0.5273146629333496	wikidatawiki	single
297168810	0.5278756618499756	wikidatawiki	single
293534665	0.044011592864990234	wikidatawiki	single
294410914	0.5204870700836182	wikidatawiki	single
295048762	0.07106256484985352	wikidatawiki	single
302151874	0.5854027271270752	wikidatawiki	single
297434908	0.5245850086212158	wikidatawiki	single
301703947	0.5642309188842773	wikidatawiki	single
296172113	0.03839468955993652	wikidatawiki	single
292734783	0.5879530906677246	wikidatawiki	single
292582655	0.5387237071990967	wikidatawiki	single
297211242	0.5285038948059082	wikidatawiki	single
294930352	0.034776926040649414	wikidatawiki	single
292314145	0.5277056694030762	wikidatawiki	single
300273103	0.5311944484710693	wikidatawiki	single
296258218	0.04389214515686035	wikidatawiki	single
298456704	0.5303337574005127	wikidatawiki	single
294566925	0.588090181350708	wikidatawiki	single
293324913	0.5221326351165771	wikidatawiki	single
296424960	0.5355849266052246	wikidatawiki	single
295469639	0.5246050357818604	wikidatawiki	single
292290277	0.5218183994293213	wikidatawiki	single
296039494	1.0188851356506348	wikidatawiki	single
294088732	0.5284488201141357	wikidatawiki	single
293869749	0.5841457843780518	wikidatawiki	single
292348184	0.5624001026153564	wikidatawiki	single
292723561	0.010908126831054688	wikidatawiki	single
293547310	1.0814504623413086	wikidatawiki	single
293268611	0.5988552570343018	wikidatawiki	single
302345026	0.5346190929412842	wikidatawiki	single
297446241	1.09246826171875	wikidatawiki	single
301327885	0.5639667510986328	wikidatawiki	single
292263182	0.5230646133422852	wikidatawiki	single
296205518	1.0217664241790771	wikidatawiki	single
298597823	1.0890533924102783	wikidatawiki	single
300509930	0.5764944553375244	wikidatawiki	single
298722220	0.52052903175354	wikidatawiki	single
292492522	0.04129147529602051	wikidatawiki	single
295233464	0.029520750045776367	wikidatawiki	single
293114184	0.5367748737335205	wikidatawiki	single
299765065	0.532498836517334	wikidatawiki	single
296401828	0.02237677574157715	wikidatawiki	single
300141320	0.522545337677002	wikidatawiki	single
299241842	0.6046061515808105	wikidatawiki	single
294548856	0.5173399448394775	wikidatawiki	single
301349012	0.5240137577056885	wikidatawiki	single
295740776	0.011310815811157227	wikidatawiki	single
297121847	0.5677084922790527	wikidatawiki	single
300168870	0.5586919784545898	wikidatawiki	single
300460747	1.0263426303863525	wikidatawiki	single
300940599	0.5328452587127686	wikidatawiki	single
295799851	0.5300624370574951	wikidatawiki	single
297628122	0.5207772254943848	wikidatawiki	single
300059547	0.5257477760314941	wikidatawiki	single
302160761	0.010467290878295898	wikidatawiki	single
291987734	0.5997316837310791	wikidatawiki	single
298391220	1.5616223812103271	wikidatawiki	single
294997086	0.5633425712585449	wikidatawiki	single
291623149	0.5525498390197754	wikidatawiki	single
293042131	0.5874195098876953	wikidatawiki	single
294838746	0.5830767154693604	wikidatawiki	single
301399041	1.0833933353424072	wikidatawiki	single
299842157	0.5247912406921387	wikidatawiki	single
296286672	0.024286508560180664	wikidatawiki	single
301785066	0.5237579345703125	wikidatawiki	single
293662672	0.5706830024719238	wikidatawiki	single
302513654	0.017859458923339844	wikidatawiki	single
299088416	0.5947713851928711	wikidatawiki	single
298277154	0.5514109134674072	wikidatawiki	single
301272499	0.5889146327972412	wikidatawiki	single
299359441	0.5640132427215576	wikidatawiki	single
295004781	0.5273702144622803	wikidatawiki	single
292200733	0.5188531875610352	wikidatawiki	single
299009393	0.5239834785461426	wikidatawiki	single
296506490	0.009774446487426758	wikidatawiki	single
294811617	1.0594255924224854	wikidatawiki	single
294479309	0.01242375373840332	wikidatawiki	single
